-0 all_void
-0.1.1.0.0.2.0.8.7.4 card_game
-0.1.1.0.0.2.0.8.7.4.23 whist
0.1.1.0.0.2.0.8.7.4.23.1 hearts
-0.1.1.0.0.2.0.8.8 turn
-0.1.1.0.0.2.0.8.8.6 move
-0.1.1.0.0.2.0.8.8.6.0 chess_move
0.1.1.0.0.2.0.8.8.6.0.0 castle
-0.1.1.0.0.2.0.8.13 work
0.1.1.0.0.2.0.8.13.1 job
-0.1.1.0.0.2.0.8.13.18 investigation
0.1.1.0.0.2.0.8.13.18.4 examination
-0.1.1.0.0.2.0.8.13.20 duty
-0.1.1.0.0.2.0.8.13.20.1 function
0.1.1.0.0.2.0.8.13.20.1.1 hat
-0.1.1.0.0.2.0.8.13.24 undertaking
-0.1.1.0.0.2.0.8.13.24.1 assignment
-0.1.1.0.0.2.0.8.13.24.1.0 school_assignment
0.1.1.0.0.2.0.8.13.24.1.0.2 homework
-0.1.1.0.0.2.0.8.16 occupation
-0.1.1.0.0.2.0.8.16.2 employment
-0.1.1.0.0.2.0.8.16.2.3 public_service
0.1.1.0.0.2.0.8.16.2.3.0 minister
0.1.1.0.0.2.0.8.16.2.7 ministry
-0.1.1.0.0.2.0.8.20 wrongdoing
-0.1.1.0.0.2.0.8.20.14 transgression
-0.1.1.0.0.2.0.8.20.14.7 crime
-0.1.1.0.0.2.0.8.20.14.7.2 felony
-0.1.1.0.0.2.0.8.20.14.7.2.4 extortion
0.1.1.0.0.2.0.8.20.14.7.2.4.1 protection
0.1.1.0.0.2.0.8.22 attempt
-0.1.1.0.0.2.0.8.24 protection
0.1.1.0.0.2.0.8.24.4 defense
-0.1.1.0.0.2.0.8.25 sensory_activity
-0.1.1.0.0.2.0.8.25.0 sensing
0.1.1.0.0.2.0.8.25.0.0 look
-0.1.1.0.0.2.0.8.25.0.0.4 stare
0.1.1.0.0.2.0.8.25.0.0.4.0 gaze
-0.1.1.0.0.2.0.8.35 operation
-0.1.1.0.0.2.0.8.35.6 attack
-0.1.1.0.0.2.0.8.35.6.9 fire
0.1.1.0.0.2.0.8.35.6.9.5 cover
-0.1.1.0.0.2.0.8.38 organization
0.1.1.0.0.2.0.8.38.2 order
-0.1.1.0.0.2.0.8.41 continuance
0.1.1.0.0.2.0.8.41.1 repetition
0.1.1.0.0.2.0.8.43 ceremony
-0.1.1.0.0.2.0.8.44 ceremony
-0.1.1.0.0.2.0.8.44.1 religious_ceremony
-0.1.1.0.0.2.0.8.44.1.1 rite
0.1.1.0.0.2.0.8.44.1.1.5 office
-0.1.1.0.0.2.0.8.57 aid
0.1.1.0.0.2.0.8.57.3 thanks
0.1.1.0.0.2.0.8.59 behavior
-0.1.1.0.0.2.0.8.59.4 discourtesy
0.1.1.0.0.2.0.8.59.4.3 insult
0.1.1.0.0.2.0.13 stay
0.1.1.0.0.2.0.13.1 stop
0.1.1.0.0.2.0.13.1.3 stand
-0.1.1.0.0.2.0.15 inactivity
0.1.1.0.0.2.0.15.2 rest
-0.1.1.0.0.2.0.18 group_action
0.1.1.0.0.2.0.18.2 confederation
-0.1.1.0.0.2.0.18.8 social_control
-0.1.1.0.0.2.0.18.8.7 duty
-0.1.1.0.0.2.0.18.8.7.13 guardianship
0.1.1.0.0.2.0.18.8.7.13.0 hands
-0.1.1.0.0.2.0.18.8.20 punishment
0.1.1.0.0.2.0.18.8.20.3 detention
-0.1.1.0.0.2.0.18.25 assembly
0.1.1.0.0.2.0.18.25.2 meeting
-0.1.1.0.0.2.0.19 distribution
-0.1.1.0.0.2.0.19.5 sharing
-0.1.1.0.0.2.0.19.5.1 giving
0.1.1.0.0.2.0.19.5.1.3 charity
-0.1.1.0.0.2.0.24 speech_act
-0.1.1.0.0.2.0.24.1 command
-0.1.1.0.0.2.0.24.1.1 order
0.1.1.0.0.2.0.24.1.1.2 word
-0.1.1.0.0.2.0.24.6 request
-0.1.1.0.0.2.0.24.6.8 questioning
0.1.1.0.0.2.0.24.6.8.1 question
-0.1.1.0.0.2.0.24.10 denial
-0.1.1.0.0.2.0.24.10.2 negative
0.1.1.0.0.2.0.24.10.2.0 no
-0.1.1.0.0.2.3 happening
-0.1.1.0.0.2.3.2 experience
0.1.1.0.0.2.3.2.9 time
-0.1.1.0.0.2.3.3 trouble
-0.1.1.0.0.2.3.3.1 affliction
0.1.1.0.0.2.3.3.1.2 curse
0.1.1.0.0.2.3.3.1.4 bane
-0.1.1.0.0.2.3.3.6 scandal
0.1.1.0.0.2.3.3.6.0 skeleton
-0.1.1.0.0.2.3.7 thing
0.1.1.0.0.2.3.7.0 feast
-0.1.1.0.0.2.3.8 episode
0.1.1.0.0.2.3.8.1 chapter
-0.1.1.0.0.2.3.19 discharge
-0.1.1.0.0.2.3.19.0 electrical_discharge
-0.1.1.0.0.2.3.19.0.2 atmospheric_electricity
0.1.1.0.0.2.3.19.0.2.0 elves
-0.1.1.0.0.2.3.20 case
0.1.1.0.0.2.3.20.1 piece
-0.1.1.0.0.2.3.21 movement
-0.1.1.0.0.2.3.21.5 change_of_location
-0.1.1.0.0.2.3.21.5.8 flow
0.1.1.0.0.2.3.21.5.8.13 fountain
-0.1.1.0.0.2.3.31 sound
-0.1.1.0.0.2.3.31.11 cry
0.1.1.0.0.2.3.31.11.7 roar
-0.1.1.0.0.2.4 social_event
-0.1.1.0.0.2.4.1 contest
0.1.1.0.0.2.4.1.7 tournament
